AA,0
BA,2147483647
CA,2147483647
DA,2147483647
EA,2147483647
FA,2147483647
GA,2147483647
AB,2147483647
BB,0
CB,2147483647
DB,2147483647
EB,2147483647
FB,2147483647
GB,2147483647
AC,2147483647
BC,2147483647
CC,0
DC,2147483647
EC,2147483647
FC,2147483647
GC,2147483647
AD,2147483647
BD,2147483647
CD,2147483647
DD,0
ED,2147483647
FD,2147483647
GD,2147483647
AE,2147483647
BE,2147483647
CE,2147483647
DE,2147483647
EE,0
FE,2147483647
GE,2147483647
AF,2147483647
BF,2147483647
CF,2147483647
DF,2147483647
EF,2147483647
FF,0
GF,2147483647
AG,2147483647
BG,2147483647
CG,2147483647
DG,2147483647
EG,2147483647
FG,2147483647
GG,0
